"client_id","regis_ids"
1,"{2,354}"
12,"{21,610,401,103,625,401,104,586,401,104,907,401,105,321,62,973,27,310,28,492,3,058,401,105,328,401,104,888,21,450,400,498,453,40,047,366,401,105,350,312,496,401,105,291,29,094,81,054,52,834,400,691,058,401,104,301,3,344,319,916,401,103,416,401,105,307,7,508,15,827,401,105,226,67,535,401,103,284,401,103,685,85,014,401,103,263,1,502,401,105,788,401,105,233,35,968,9,658,400,829,463,77,993,401,105,383,401,105,613,401,105,076,48,942,401,105,602,401,103,264,400,352,617,1,898,303,792,401,104,702,70,778,400,469,321,401,103,165,13,574,401,104,011,401,105,346,80,213,401,105,373,4,631,18,001,401,104,363,401,103,570,400,454,181,13,005,401,103,564,401,104,858,40,038,310,13,858,401,104,415,401,104,260,48,188,401,103,605,17,933,39,600,400,460,287,401,105,068,401,104,178,40,101,401,103,216,2,013,28,253,30,564,321,191,400,869,547,400,713,145,401,105,098,4,050,76,252,401,103,556,401,103,385,288,293,401,104,418,401,104,610,401,105,713,401,104,158,401,104,672,113,1,466,401,104,564,54,585,401,105,760,400,458,234,59,650,22,883,401,103,587,401,104,808,75,251,401,105,600,37,653,38,767,401,027,897,401,103,499,2,833,323,158,401,103,888,38,483,401,105,720,297,933,58,250,401,103,966,400,705,117,401,105,173,401,070,011,14,611,8,225,400,918,672,28,561,401,104,895,401,104,044,401,105,478,401,104,645,401,105,089,26,455,400,375,724,401,103,498,400,479,360,401,104,259,400,367,702,401,105,708,63,110,401,105,184,400,325,523,401,103,527,291,435,401,105,689,401,105,689,2,627,300,515,87,778,400,456,194,52,925,3,834,401,105,387,401,103,261,401,105,460,19,547,401,104,979,305,511,400,728,185,21,131,26,535,401,104,596,297,237,400,459,270,298,012,400,745,227,40,006,039,401,105,418,14,495,401,104,542,401,104,766,401,104,765,29,595,401,104,426,400,436,108,304,337,400,469,321,401,085,040,23,485,401,103,745,400,618,875,400,520,538,401,105,459,401,105,026,401,105,457,401,104,914,401,105,545,32,908,401,075,023,400,606,844,28,140,311,314,401,105,731,2,365,400,633,916,69,195,401,103,816,401,104,869,7,736,401,105,261,40,010,400,384,776,401,105,561,400,935,705,316,616,89,350,314,658,401,105,748,2,536,287,918,29,128,321,817,443,401,105,649,3,286,40,005,030,400,297,400,401,105,712,401,103,810,9,044,305,431,401,104,475,400,342,587,4,540,401,095,057,14,781,323,717,50,400,401,105,616,401,103,542,401,104,567,11,025,401,105,670,16,271,401,104,787,3,812,63,690,401,103,114,401,104,213,286,074,40,008,062,55,028,401,105,302,401,105,103,400,311,455,33,157,23,838,401,105,656,2,775,401,063,997,38,381,401,105,507,40,046,361,400,661,993,401,105,338,400,484,391,400,361,684,40,006,037,400,706,118,401,105,414,401,025,893,401,103,617,310,335,400,418,988,401,105,080,401,105,366,2,616,400,679,025,3,572,400,315,470,26,967,400,383,768,401,103,355,401,105,829,401,104,872,401,105,198,1,810,401,105,274,401,105,626,401,103,489,401,105,690,401,105,756,46,222,67,455,400,612,859,318,276,19,764,401,104,664,400,286,365,76,354,400,268,225,32,885,20,447,38,552,6,963,401,105,146,59,912,401,104,854,401,104,420,38,426,401,104,481,11,468,401,104,049,71,234,15,463,296,932,24,806,401,105,011,7,725,401,103,915,401,105,218}"
24,"{401,104,724,401,105,026,45,653,400,679,025,401,104,417,38,494,401,103,385,400,918,672,401,104,869,75,876,33,124,401,026,894,401,105,350,308,731,33,454,400,665,998,401,105,460,401,104,854,401,103,355,401,103,987,401,104,596,401,104,782,12,061,401,104,418,36,127,401,103,511,401,105,307,401,104,650,401,025,893,400,753,253,400,384,769,53,163,401,105,068,401,103,307,401,104,904,52,880,400,829,463,401,103,242,24,486,401,103,745,3,413,34,477,401,105,133,401,105,076,401,105,491,401,104,907,401,105,021,401,104,475,401,050,963,400,927,689,400,497,445,298,012,401,104,914,400,671,008,401,103,542,401,104,494,401,104,990,401,104,213,401,105,545,400,454,181,401,105,150,400,883,583,401,105,146}"
30,"{291,093}"
36,"{85,014,400,454,181,401,104,301,22,746,401,104,869,400,829,463,400,693,064,401,104,543,400,394,855,401,104,494,401,104,213,401,103,564,401,104,049,74,498,23,838,401,104,417,288,293,401,103,692,401,104,260,401,104,596,401,103,986,401,063,997,305,338,401,104,340,31,918,401,103,385,58,250,401,104,895,401,103,115,290,811,32,500,400,748,240,401,025,893,400,339,575,400,326,528,400,823,440,400,679,025,401,104,914,400,665,998,46,084,309,971,401,105,491,304,337,304,554,69,550,75,876,13,448,22,883,319,916,401,104,610,400,383,768,68,376,285,552,401,103,966,401,103,720,401,104,782,401,103,489,401,105,307,400,384,769,400,428,066,315,592,400,432,093,401,105,133,401,103,216,400,927,689,24,271}"
48,"{401,104,418,401,104,888,34,843,401,103,115,400,646,949,53,163,401,025,893,401,103,489,401,104,049,319,916,400,829,463,401,105,133,40,025,211,401,103,385,400,665,998,401,104,895,401,103,702,401,103,966,45,835,401,103,556,24,271,296,817,401,104,468,40,013,094,401,105,491,400,693,064,400,326,528,40,025,199,401,104,340,401,105,021,401,103,224,401,104,787,401,104,724,400,927,689,401,104,475,401,104,869,401,103,745,401,104,426,16,681,401,103,986,401,104,417}"
51,"{401,105,307,73,134,400,829,463,400,665,998,33,454,401,105,068,401,104,049,58,250,322,578,400,520,537,35,800,79,951,400,361,684,288,293,401,103,987,401,104,724,401,104,417,318,356,401,027,897,157,40,025,211,324,412,401,104,403,401,105,021,401,070,011,401,104,888,401,103,307,401,103,115,69,696,401,105,491,401,104,468,53,163,48,691,401,104,787,33,124,400,693,064,304,337,32,500,401,025,893,400,882,581}"
63,"{401,103,542,401,104,418,400,361,684,401,104,417,298,012,400,498,453,400,693,064,292,697,401,104,468,6,848,401,104,741,401,105,068,400,665,998,314,432,400,400,892,401,104,340,322,578,401,104,869,401,103,307,401,105,021,401,103,702,401,104,543,401,104,403,401,104,475,401,104,888,401,104,567,291,834,401,027,897,401,103,489,401,103,555,22,883,401,103,314,401,103,556,401,104,213}"
75,"{401,104,213,305,236,401,105,021,46,084,401,104,314,304,337,86,298,79,951,401,104,741,314,432,401,104,417,400,665,998,401,025,893,296,817,400,428,072,9,911,321,555,34,843,85,014,401,104,340,401,104,468,89,350,400,454,181,400,400,892,76,252,401,105,150,22,883,33,875,401,104,418,17,818,401,104,475,401,103,555,288,293,401,103,542,82,170,401,103,743}"
87,"{401,104,417,401,105,068,401,104,869,6,848,16,681,400,508,502,401,103,307,304,554,401,105,021,17,818,400,432,093,400,297,400,296,817,22,883,401,104,475,400,693,064,322,578,318,356,400,646,949,401,104,213,400,498,453,400,670,003,401,104,340,17,226,400,535,604,401,103,489,400,400,892,401,103,743}"
90,"{61,414,401,104,468,9,911,69,696,16,681,400,421,012,89,350,401,104,869,311,291,79,951,401,103,307,400,297,400,401,103,542,401,104,213,401,025,893,401,103,743,304,337,400,693,064,401,105,021,35,707,322,578,401,104,340,400,829,463,401,105,150,400,432,093,17,818,401,105,068}"
101,"{401,105,366,157,401,104,213,400,918,672,22,883,18,422,400,508,502,400,829,463,401,104,869,284,436,401,103,743,400,646,949,401,104,340,322,578,401,104,049,400,498,453,401,103,307,400,297,400,401,105,068,315,592,401,103,542,401,104,403}"
113,"{34,843,401,104,403,400,428,066,401,104,213,401,103,355,298,012,288,293,33,454,296,817,400,428,072,401,103,542,400,882,581,401,104,049,400,400,892,79,951,401,104,869,401,105,150,89,350,6,848,400,454,181,85,014,401,105,068,401,025,893,288,098}"
125,"{401,025,893,18,741,401,036,920,324,412,51,753,32,500,401,105,366,85,014,304,337,401,103,720,400,882,581,22,883,400,646,949}"
137,"{401,103,542,400,882,581,33,875,48,691,89,350,305,236,400,432,093,401,104,049,32,500,401,105,021,401,103,692,23,838,401,036,920,400,454,181,85,014,324,412,40,038,308,305,338}"
140,"{12,141,34,477,401,105,068,400,428,072,401,103,542,296,817,401,105,021,401,036,920,401,104,049,73,555,400,454,181,400,383,768,400,432,093,16,327,31,918,400,918,672,400,693,064,157,400,428,066}"
152,"{401,025,893,400,918,672,401,104,049,85,014,401,070,011,400,535,604,291,914,401,104,869,22,883,400,383,768,401,103,355,401,103,542,400,432,093,315,592,304,554,18,466,53,163,35,707,401,103,720,401,104,209,34,843,23,111}"
164,"{400,400,892,400,383,768,400,478,358,23,838,401,025,893,401,105,366,401,070,011,23,111,85,014,157,17,352,304,213,53,163}"
176,"{305,338,53,163,400,400,892,60,550,401,103,355,400,693,064,22,883,400,918,672,401,105,021,400,454,181,400,428,066,23,111,401,104,869,36,413,85,014,315,592}"
188,"{401,025,893,401,103,355,400,428,066,400,400,892,68,376,288,293,401,105,021,400,383,768,17,352}"
191,"{400,432,093,400,428,066,71,597,58,250,18,466,31,736,68,376,35,707,401,105,021,400,383,768,400,388,803,48,691}"
202,"{400,918,672,401,070,011,17,352,401,025,893,24,486,400,400,892,33,124,400,383,768,401,105,021}"
214,"{36,127,400,454,181,400,432,093,58,250,400,693,064,36,344,33,124,400,584,784,16,681,400,359,670,17,352,401,025,893,33,875,25,897,401,070,011}"
226,"{400,454,181}"
238,"{58,250,401,070,011,400,693,064,400,454,181,34,843,400,646,949,35,707,17,352,400,432,093,23,838}"
241,"{400,454,181,400,693,064,400,432,093,33,454,33,124,35,707}"
253,"{400,693,064,400,646,949,35,707,73,134,51,753}"
265,"{315,592,401,057,985,400,918,672}"
277,"{16,681,17,818,400,646,949,51,753}"
280,"{18,466,400,918,672}"
292,"{22,746,23,838,6,848,36,127,248}"
303,"{18,422,51,753}"
315,"{291,914,33,454,400,918,672,17,818,400,646,949,16,681}"
327,"{51,753,40,020,147,315,592}"
330,"{17,818,16,681,23,838,400,646,949}"
342,"{17,818,291,914,400,646,949,48,782,40,020,147}"
354,"{40,020,147,18,466,401,016,871,400,646,949,16,681}"
366,"{40,020,147,400,646,949,8,101,401,016,871,16,681,315,592}"
378,"{6,848,23,838}"
393,"{401,016,871,315,592}"
404,"{23,838,315,592,17,818,12,061,89,155}"
416,"{315,592}"
428,"{401,016,871,89,155,400,711,132}"
431,"{89,155,6,848,31,736}"
443,"{401,016,871}"
455,"{315,592,401,016,871}"
467,"{315,592,2,057}"
470,"{315,592,401,103,287,36,127}"
482,"{401,103,287,89,155}"
494,"{401,103,287,401,016,871}"
505,"{401,103,287,31,736,401,016,871}"
517,"{24,486,401,016,871,401,103,287}"
520,"{401,103,287,400,918,672}"
532,"{401,103,287}"
544,"{33,875,31,736,401,103,287,400,918,672}"
556,"{31,736,401,016,871,33,875}"
568,"{36,127,33,875,400,918,672}"
571,"{5,426,33,875}"
583,"{400,918,672,5,426}"
606,"{17,352,31,736}"
618,"{31,736,400,918,672,17,352,17,818,24,338}"
621,"{31,736}"
633,"{17,818}"
645,"{400,918,672,17,352}"
657,"{400,918,672,17,352}"
660,"{17,352}"
672,"{17,352}"
684,"{17,352}"
696,"{400,918,672,17,352,17,818}"
707,"{17,352}"
710,"{400,918,672,17,352}"
734,"{17,352}"
746,"{400,918,672}"
761,"{17,818}"
773,"{17,818}"
785,"{17,818}"
797,"{400,918,672,17,352}"
808,"{17,352,400,918,672}"
811,"{35,707,400,918,672}"
823,"{17,352,73,134,12,868}"
835,"{41,955,400,918,672,17,352}"
847,"{400,918,672,17,352}"
850,"{17,352}"
862,"{79,131}"
874,"{17,352}"
886,"{17,352}"
900,"{17,352}"
912,"{17,818}"
924,"{17,818,401,054,971}"
936,"{17,352}"
948,"{17,352}"
951,"{35,707,17,352}"
963,"{17,352}"
975,"{17,352}"
1002,"{60,550}"
1026,"{401,054,971}"
1065,"{25,818}"
1127,"{8,987}"
1130,"{401,054,971}"
1142,"{8,987}"
1154,"{12,868}"
1166,"{8,987}"
1178,{157}
1216,"{12,868}"
1317,"{2,057}"
1320,"{11,993}"
1344,"{48,782}"
1368,"{11,993}"
1445,"{21,893}"
1457,"{24,338}"
1496,"{25,306}"
1510,{157}
1623,"{51,478}"
1674,"{18,466}"
1698,{157}
1790,"{12,868}"
1891,"{35,707}"
1926,"{60,550}"
1977,"{25,306,35,707}"
2334,"{24,338}"
2358,"{24,338}"
2408,"{60,550}"
2916,"{18,466}"
3122,"{60,550}"
3324,"{60,550}"
3390,"{18,466}"
3452,"{18,466}"
3553,"{18,466}"
3654,"{60,550}"
4213,"{18,466}"
4974,"{12,868}"
5471,"{18,422}"
6598,"{12,868}"
1000242,"{61,414}"
1000254,"{9,911}"
1000266,"{61,414}"
1000278,"{9,911}"
1000293,"{9,911,61,414}"
1000296,"{60,550}"
1000304,"{9,911}"
1000316,"{61,414}"
1000323,"{60,550}"
1000331,"{61,414,9,911}"
1000343,"{9,911}"
1000355,"{61,414}"
1000367,"{61,414}"
1000370,"{61,414}"
1000382,"{61,414}"
1000394,"{61,414}"
1000447,"{60,550}"
1000609,"{2,057}"
1000682,"{51,478}"
1000824,"{29,516}"
1001066,"{288,293}"
1001116,"{288,293}"
1001131,"{288,293}"
1001170,"{297,294}"
1001182,"{297,294}"
1001205,"{297,294}"
1001244,"{297,294}"
1001256,"{297,294}"
1001318,"{297,294}"
1001460,"{307,034}"
1001523,"{311,314}"
1002065,"{18,466}"
1002172,"{294,952}"
1002234,"{82,170}"
1002258,"{79,951}"
1002285,"{82,170}"
1002318,"{18,466}"
1002350,"{82,170}"
1002448,"{82,170}"
1002475,"{82,170}"
1002626,"{6,848}"
1002638,"{6,848}"
1002641,"{6,848}"
1002793,"{307,034}"
1002882,"{39,781}"
1003007,"{297,237}"
1003010,"{297,237}"
1003022,"{297,237,39,781}"
1003034,"{297,237}"
1003236,"{11,993}"
1003388,"{11,993}"
1003391,"{83,490}"
1003462,"{12,868}"
1003465,"{12,868}"
1003478,"{12,868}"
1003503,"{67,854}"
1003581,"{21,962,36,127}"
1003616,"{305,236}"
1003628,"{305,236}"
1003667,"{24,486}"
1003732,"{35,800}"
1003784,"{22,883}"
1003790,"{22,883}"
1003821,"{22,883}"
1003872,"{22,883}"
1003910,"{60,550,22,883}"
1003922,"{35,800}"
1003934,"{22,883}"
1004024,"{32,008}"
1004036,"{307,034}"
1004048,"{24,486}"
1004051,"{307,034}"
1004063,"{307,034,24,486}"
1004087,"{24,486,35,800}"
1004101,"{290,811}"
1004125,"{24,486}"
1004137,"{290,811}"
1004140,"{290,811}"
1004152,"{35,800}"
1004164,"{35,800,290,811,307,034}"
1004226,"{35,800}"
1004292,"{24,486}"
1004416,"{58,636}"
1004431,"{51,478}"
1004494,"{24,486}"
1004517,"{51,478}"
1004520,"{24,486}"
1004556,"{24,486}"
1004583,"{24,486}"
1004618,"{51,478}"
1004628,"{311,291}"
1004696,"{24,486}"
1004707,"{321,555}"
1004710,"{311,291,321,555}"
1004722,"{321,555,311,291,24,486,63,110}"
1004734,"{311,291,321,555,63,110}"
1004746,"{24,486}"
1004758,"{321,555}"
1004785,"{52,880}"
1004797,"{321,555}"
1004808,"{52,880,73,134}"
1004823,"{24,486}"
1004835,"{321,555}"
1004862,"{321,555,24,486}"
1004874,"{25,306,291,572}"
1004898,"{321,555}"
1004900,"{291,572}"
1004912,"{291,572}"
1004924,"{321,555}"
1004938,"{35,707}"
1004948,"{321,555}"
1004951,"{60,550,321,555}"
1004963,"{321,555}"
1004987,"{321,555}"
1004990,"{291,572}"
1005014,"{321,555}"
1005026,"{321,555}"
1005038,"{321,555}"
1005041,"{291,572,321,555}"
1005053,"{321,555}"
1005077,"{321,555,291,572}"
1005080,"{60,550}"
1005092,"{321,555}"
1005142,"{18,466}"
1005166,"{321,555}"
1005178,"{321,555}"
1005193,"{321,555}"
1005204,"{25,306,321,555}"
1005216,"{321,555}"
1005228,"{60,550}"
1005231,"{18,466}"
1005243,"{12,868}"
1005255,"{29,846,25,306}"
1005267,"{35,707}"
1005270,"{25,306}"
1005282,"{29,846}"
1005305,"{60,550}"
1005344,"{29,846,60,550}"
1005356,"{73,134,29,846}"
1005371,"{35,707}"
1005383,"{29,846}"
1005457,"{60,550}"
1005496,"{60,550}"
1005534,"{2,057}"
1005546,"{18,466}"
1005558,"{60,550}"
1005573,"{18,466}"
1005585,"{2,057,18,466}"
1005597,"{60,550}"
1005608,"{18,466}"
1005611,"{18,466}"
1005647,"{18,466}"
1005650,"{60,550}"
1005662,"{18,466}"
1005686,"{73,134}"
1005698,"{73,134,60,550}"
1005736,"{73,134}"
1005748,"{73,134}"
1005790,"{12,868}"
1005813,"{12,868}"
1005825,"{60,550}"
1005837,"{60,550}"
1005891,"{60,550}"
1005926,"{46,585}"
1005953,"{46,585}"
1005977,"{46,585}"
1005980,"{2,057}"
1006031,"{60,550}"
1006117,"{24,338}"
1006156,"{2,057}"
1006171,"{12,631}"
1006233,"{12,631}"
1006257,"{2,057}"
1006307,"{12,868,18,422}"
1006310,"{12,868}"
1006358,"{2,057}"
1006361,"{36,105}"
1006474,"{12,868}"
1006486,"{12,868}"
1006500,"{12,868}"
1006548,"{12,631}"
1006551,"{72,053}"
1006563,"{12,868}"
1006590,"{2,057}"
1006640,"{12,868}"
1006664,"{12,868}"
1006676,"{12,868,2,057}"
1006688,"{12,868}"
1006691,"{12,868}"
1006726,"{12,868}"
1006738,"{12,868}"
1006741,"{12,868}"
1006765,"{12,868}"
1006777,"{18,466,12,868}"
1006780,"{12,868}"
1006830,"{18,466}"
1006881,"{18,466}"
1006916,"{18,466}"
1007060,"{2,057}"
1007107,"{32,098}"
1007312,"{18,466}"
1007390,"{18,466}"
1007577,"{18,466}"
1007615,"{18,422}"
1007630,"{18,466}"
1007654,"{18,466}"
1007770,"{18,466}"
1007782,"{18,466}"
1007906,"{18,466}"
1007921,"{18,466}"
1007957,"{18,466}"
1007984,"{18,466}"
1008008,"{18,422}"
1008023,"{18,466}"
1008136,"{18,466}"
1008151,"{18,466}"
1008353,"{18,466}"
1008415,"{18,422}"
1008427,"{18,466}"
1008442,"{18,422}"
1008493,"{18,422}"
1008594,"{18,466}"
1008671,"{18,466}"
1008733,"{18,466}"
1008784,"{18,466}"
1008846,"{18,466}"
1008974,"{18,466}"
1008986,"{18,466}"
1009013,"{18,466}"
1009114,"{18,466}"
1009138,"{18,466}"
1009266,"{18,466}"
1009293,"{18,466}"
1009343,"{18,466}"
1009367,"{18,466}"
1009518,"{18,466}"
1009607,"{18,466}"
1009622,"{18,466}"
1009646,"{18,466}"
1009685,"{18,466}"
1009723,"{18,466}"
1009747,"{18,466}"
1009901,"{18,466}"
1009940,"{18,466}"
1009988,"{18,466}"
1009991,"{18,466}"
1010038,"{18,466}"
1010080,"{18,466}"
1010127,"{18,466}"
1010154,"{18,466}"
1010193,"{18,466}"
1010231,"{18,466}"
6160133,"{310,938}"
